# Pignatelli 2001 NGC3898 kinem http://mnras.oxfordjournals.org/content/323/1/188.full.pdf
# r,"   V		dV	sig	dsig	
-30.8	1300	12	121	13	0.05	0.03	0.43	0.03
-18.2	1296	26	138	33	0.06	0.17	0.01	0.17
-14.5	1306	44	127	26	-0.03	0.30	-0.17	0.30
-12.3	1325	26	131	17	-0.15	0.17	-0.09	0.17
-10.6	1315	31	119	20	-0.19	0.22	-0.09	0.22
-9.3	1312	31	127	41	-0.04	0.21	0.02	0.21
-8.9	1308	17	129	15	-0.06	0.11	-0.05	0.11
-6.6	1291	12	154	14	-0.10	0.07	0.00	0.07
-5.1	1278	23	162	22	-0.01	0.12	-0.04	0.12
-4.1	1262	15	175	21	-0.04	0.08	0.03	0.08
-3.3	1233	17	185	20	0.00	0.08	-0.00	0.08
-2.7	1243	12	189	14	-0.03	0.06	-0.01	0.06
-2.1	1224	12	214	14	0.00	0.04	0.03	0.04
-1.7	1216	18	203	29	0.03	0.08	0.07	0.08
-1.4	1206	18	228	25	-0.01	0.07	0.02	0.07
-1.1	1220	12	240	17	0.02	0.04	0.04	0.04
-0.8	1197	12	229	11	0.05	0.03	0.02	0.03
-0.5	1197	12	218	13	0.00	0.04	0.03	0.04
-0.2	1186	12	230	15	0.01	0.05	0.01	0.05
0.1		1187	12	219	15	0.01	0.05	0.01	0.05
0.4		1172	12	227	12	0.01	0.03	0.02	0.03
0.7		1153	12	240	11	0.02	0.03	0.03	0.03
1.0		1144	12	228	14	0.05	0.05	-0.01	0.05
1.3		1141	12	221	15	0.00	0.05	0.02	0.05
1.6		1149	12	221	13	0.05	0.04	0.04	0.04
2.1		1126	12	208	13	0.01	0.04	0.01	0.04
2.7		1114	16	200	22	-0.02	0.07	0.03	0.07
3.3		1100	12	201	16	0.04	0.05	0.04	0.05
4.0		1109	14	187	20	0.04	0.06	0.04	0.06
5.0		1097	12	178	9	0.06	0.05	-0.04	0.05
6.7		1078	12	182	15	0.05	0.06	0.01	0.06
9.2		1058	14	156	16	0.10	0.08	-0.01	0.08
10.8	1041	27	153	35	0.19	0.15	0.02	0.15
12.2	1047	35	144	35	-0.03	0.21	-0.03	0.21
14.3	1068	26	162	28	0.06	0.14	-0.02	0.14
17.6	1066	36	134	38	0.08	0.23	-0.02	0.23


 
